Sexe,age,Emploi,Telephone,statut_personnel,mois_pret_duree,historique de credit,but,Prix ( TND),personnes a charge,solde_d'epargne,duree_emploi,taux de versement ( par mois ) ,autres_debiteurs,Historique residence,propriete,logement,credits_existants,Score
Homme,67,employe qualifie,21306316,Celibataire,6,critique,Electronique,2338,1,0,13 ans,4,rien,6 ans,immobilier,propre,2,0
Femme,22,employe qualifie,29241770,,48,rembourse,Electronique,1190,1,890,2 annees,2,rien,5 mois,immobilier,propre,1,1
Homme,45,employe qualifie,20505876,Celibataire,42,rembourse,meubles,15764,2,90,5 annees,2,garant,13 ans,l'epargne de la societe de construction,gratuitement,1,0
Homme,35,resident non qualifie,24268700,Celibataire,36,rembourse,education,18110,2,0,2 annees,2,rien,8 annees,inconnu/aucun,gratuitement,1,0
Homme,35,independant de gestion,27233723,Celibataire,36,rembourse,voiture (occasion),13896,1,570,2 annees,2,rien,3 mois,autre,louer,1,0
Homme,61,resident non qualifie,21195187,divorce,12,rembourse,Electronique,6118,3,18426,4 annees,2,rien,24 ans,immobilier,propre,1,0
Homme,28,independant de gestion,28225263,marie,30,critique,voiture (neuve),10468,1,520,,4,rien,10 mois,autre,propre,2,1
Femme,25,employe qualifie,22805698,,12,rembourse,voiture (neuve),25900,1,930,6 mois,3,rien,,autre,louer,1,1
Femme,24,employe qualifie,26523821,,48,rembourse,Entreprise,8616,1,710,5 mois,3,rien,10 annees,l'epargne de la societe de construction,louer,1,1
Femme,22,employe qualifie,23527533,,12,rembourse,Electronique,3134,1,480,2 annees,1,rien,,autre,propre,1,0
Femme,28,employe qualifie,20732782,,15,rembourse,voiture (neuve),28060,1,860,3 annees,2,rien,19 annees,autre,louer,1,0
Femme,32,resident non qualifie,28480378,,24,rembourse,Electronique,2564,1,2090,1 ans,4,rien,0 mois,autre,propre,1,1
Homme,53,employe qualifie,22000081,Celibataire,24,critique,Electronique,4848,1,0,17 ans,4,rien,7 ans,l'epargne de la societe de construction,propre,2,0
Homme,25,employe qualifie,28344227,Celibataire,30,entierement rembourse,Entreprise,16144,1,0,3 mois,2,rien,3 annees,autre,propre,3,0
Homme,31,employe qualifie,25965912,Celibataire,24,rembourse,Electronique,6860,2,5350,9 annees,3,rien,7 mois,autre,propre,1,0
Homme,44,employe qualifie,20895050,Celibataire,6,rembourse,Electronique,5294,2,5300,1 ans,2,rien,3 annees,immobilier,louer,1,0
Homme,48,resident non qualifie,24725475,Celibataire,10,critique,voiture (neuve),44820,2,140,4 mois,1,rien,1 ans,immobilier,louer,2,0
Homme,44,employe qualifie,28335799,Celibataire,12,critique,voiture (occasion),3608,1,3610,3 mois,3,rien,16 ans,l'epargne de la societe de construction,propre,1,0
Homme,26,employe qualifie,24840209,marie,10,critique,meubles,4138,3,0,2 annees,2,rien,,autre,propre,2,0
Homme,36,resident non qualifie,25609207,Celibataire,6,rembourse,meubles,2748,1,750,2 annees,1,rien,3 mois,immobilier,propre,1,0
Femme,42,employe qualifie,22151177,,12,entierement rembourse cette banque,Electronique,818,1,78580,1 ans,3,rien,1 ans,immobilier,louer,2,0
Homme,34,employe qualifie,24789405,Celibataire,7,rembourse,Electronique,4830,1,100,3 annees,3,garant,6 mois,immobilier,propre,1,0
Homme,36,employe qualifie,25181156,marie,18,rembourse,Entreprise,3826,2,93430,10 mois,3,rien,2 annees,immobilier,propre,1,0
Homme,30,employe qualifie,24597523,Celibataire,18,rembourse,voiture (neuve),11732,1,2050,3 annees,2,rien,3 mois,autre,propre,2,0
Homme,57,resident non qualifie,25410726,Celibataire,12,critique,Entreprise,2528,1,0,11 ans,4,rien,20 ans,inconnu/aucun,louer,1,0
Homme,25,resident non qualifie,28005389,Celibataire,45,critique,Electronique,9492,1,630,7 mois,4,rien,6 mois,l'epargne de la societe de construction,propre,2,1
Homme,31,employe qualifie,28346069,Celibataire,48,critique,education,12220,1,410,2 annees,1,rien,2 annees,inconnu/aucun,gratuitement,1,0
Homme,37,employe qualifie,22052490,Celibataire,18,rembourse,Electronique,4200,1,40,1 ans,4,codemandeur,11 mois,immobilier,propre,1,1
Homme,30,independant de gestion,23484092,Celibataire,30,rembourse,Electronique,4666,1,9570,19 annees,4,rien,8 mois,autre,propre,1,0
Homme,26,employe qualifie,22840432,divorce,12,rembourse,Electronique,2316,1,6410,2 annees,3,rien,,autre,propre,1,0
